# source_api_id	status	crystal_refs	notes
browser.go::func::New	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.PageFromTarget	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Pages	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.SetCookies	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.SlowMotion	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Trace	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.Version	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.WaitDownload	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::method::Browser.WaitEvent	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
browser.go::struct::Browser	mapped	src/rod/browser.cr,spec/browser_parity_spec.cr,spec/browser_pages_parity_spec.cr,spec/browser_page_creation_parity_spec.cr,spec/browser_incognito_parity_spec.cr,spec/browser_wait_download_parity_spec.cr,spec/browser_each_event_parity_spec.cr,spec/browser_clear_states_parity_spec.cr	mapped from port inventory status=ported; browser API parity covered
context.go::method::Browser.CancelTimeout	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Browser.Context	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Browser.GetContext	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Browser.Sleeper	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Browser.Timeout	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Browser.WithCancel	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Element.CancelTimeout	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Element.Context	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Element.GetContext	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Element.Sleeper	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Element.Timeout	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Element.WithCancel	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Page.CancelTimeout	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Page.Context	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Page.GetContext	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Page.Sleeper	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Page.Timeout	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
context.go::method::Page.WithCancel	mapped	src/rod/browser.cr,src/rod/page.cr,src/rod/element.cr,spec/context_spec.cr,spec/browser_context_clone_spec.cr	mapped from port inventory status=ported; context clone/timeout/cancel/sleeper APIs ported
dev_helpers.go::const::TraceTypeInput	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::const::TraceTypeQuery	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::const::TraceTypeWait	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::const::TraceTypeWaitRequests	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::const::TraceTypeWaitRequestsIdle	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::method::Browser.ServeMonitor	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::method::Element.Overlay	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::method::Page.ExposeHelpers	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::method::Page.Overlay	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::method::TraceType.String	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
dev_helpers.go::type::TraceType	mapped	src/rod/dev_helpers.cr,spec/dev_helpers_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; dev helpers API parity covered
element.go::method::Element.Attribute	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.BackgroundImage	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Blur	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Call	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.CanvasToImage	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Click	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.ContainsElement	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Describe	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Disabled	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Equal	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Eval	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Evaluate	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Focus	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Frame	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.GetSessionID	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.GetXPath	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.HTML	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Hover	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Input	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.InputColor	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.InputTime	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Interactable	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.KeyActions	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Matches	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.MoveMouseOut	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Page	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Property	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Release	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Remove	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Resource	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Screenshot	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.ScrollIntoView	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Select	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.SelectAllText	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.SelectText	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.SetFiles	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.ShadowRoot	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Shape	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.String	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Tap	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Text	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Type	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Visible	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.Wait	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitEnabled	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitInteractable	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitInvisible	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitLoad	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitStable	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitStableRAF	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitVisible	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::method::Element.WaitWritable	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
element.go::struct::Element	mapped	src/rod/element.cr,spec/element_spec.cr,spec/element_lifecycle_parity_spec.cr,spec/live_browser_parity_spec.cr	mapped from port inventory status=ported; element API parity covered
error.go::func::NotFoundSleeper	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::CoveredError.Error	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::CoveredError.Is	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::CoveredError.Unwrap	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::ElementNotFoundError.Error	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::EvalError.Error	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::EvalError.Is	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::ExpectElementError.Error	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
error.go::method::ExpectElementError.Is	mapped	src/rod/error.cr,spec/error_spec.cr,spec/page_navigation_error_parity_spec.cr	mapped from port inventory status=ported; error type/is/unwrap parity covered
